date,LCISX,JFCIX,HCMIX,PAGRX,VFTNX,GSCGX,MUIGX,PIODX,SENCX,YCGEX,SRFMX,DGAGX,GQEFX,MEFOX,CISIX,CWCFX,PMYYX,JMUEX,PBFDX,FSAEX,SSAQX,QIACX,USBOX,SUSIX,NEFSX,BIRIX,IIRLX,DTMGX,PSPTX,MRGAX,JLPSX,AWEIX,PRCOX,AFDAX,VNSYX,GINGX,MALRX,DFSIX,VTCIX,JDESX,PNRAX,TNWCX,MUOSX,VPMCX,FALCX,JIISX,USSPX,JENSX,WMLIX,VCGAX,HIAGX,LCIAX,HGIYX,BRGKX,SNXFX,MTSMX,JHJRX,PIOTX,GEQYX,FXAIX,VITPX,VINIX,FLCPX,DRTHX,MLCGX,WFSPX,SPINX,VVPLX,SWPPX,DFUSX,TISPX,FSKAX,TIEIX,FLCEX,TISCX,NOSIX,SWTSX,SVSPX,NSEPX,VTSMX,VFINX,PRBLX,MAEIX,BTIIX,DSPIX,MXXVX,JENHX,DFELX,PREIX,HLEIX,PSIFX,MUIFX,NINDX,TAGRX,INGIX,AVERAGE
2011,0,0,0,-7.52,-0.52,-1.47,-1.79,-4.58,1.44,0,0,7.62,11.85,2.5,0.05,0,0.46,-1.53,4.49,-2.79,-2.16,-0.33,12.78,-2.39,-2.79,0,2.57,9.22,2.81,-1.11,-3.87,4.24,1.29,3.93,0,-4.73,0.01,-0.66,1.39,1.01,-1.49,0,0,-1.84,-2.27,0.21,1.82,-1.05,1.1,-4.35,1.15,1.46,1.47,0,1.27,-2.92,0,0.97,3,2.1,1.11,2.09,0,0.69,-1.55,1.98,0,4.01,2.07,2.1,2.01,1.01,0.99,4.73,-0.05,1.89,1.32,1.86,-2.01,0.96,1.97,3.13,1.88,1.95,1.97,10.45,3.16,2.25,1.87,1.96,2.07,0.39,1.98,-9.03,1.81,1.01746988
2012,0,23.64,0,20.67,17.84,18.56,13.25,9.91,14.52,0,0,10.18,11.99,10.29,17.71,9.78,18.38,17.35,13.89,16.79,16.78,16.54,10.84,16.35,17.79,0,15.56,8.52,26.57,16.57,17.92,15.67,15.99,15.01,0,18.73,14.74,17.05,16.41,16.96,17.6,0,0,15.27,16.11,19.21,15.75,13.54,16.05,13.36,17.62,16.3,17.29,16.37,15.77,14.56,0,14.51,15.91,15.99,16.53,15.98,0,11.66,15.49,15.84,0,24.38,15.91,15.82,15.94,16.36,16.33,14.85,14.05,15.86,16.3,16.03,17.56,16.25,15.82,15.43,15.93,15.71,15.79,31.63,18.44,16.96,15.68,15.76,15.71,14.49,15.78,20.18,15.79,16.31023256
2013,0,34.82,0,42.86,37.09,31.67,31.01,33.06,30.62,27.47,0,21.45,25.47,33.95,35.04,31.87,42,36.04,22.67,33.6,35.15,40.49,24.54,34.43,35.75,0,32.05,20.83,30.41,34.16,36.88,31.18,32.73,31.26,43.39,33.55,33.92,36.69,33.73,33.98,32.88,0,0,39.73,32.84,35.47,32.03,32.33,32.78,32.66,35.82,33.11,35.63,32.8,32.67,30.9,0,30.99,32.04,32.37,33.63,32.35,0,34.08,34.91,32.21,0,36.31,32.27,32.33,32.24,33.42,33.47,34.29,34.32,32.23,33.36,32.14,30.91,33.35,32.18,33.98,32.02,31.99,32.18,38.69,31.31,32.11,32.02,32.1,32.09,30.43,32.11,32.23,32.04,33.01306818
2014,0,9.39,0,6.54,15.85,13.68,14.52,10.87,10.33,10.1,0,8.27,12.59,6.29,14.41,11.05,13.82,13.83,8.86,12.54,13.27,13.32,11.01,13.11,12.94,0,12.91,7.49,14.44,11.11,14.59,14.65,12.21,13.69,10.76,12.8,11.89,10.39,12.56,15.51,14.6,0,0,18.72,12.11,13.33,13.38,11.72,13.32,14.13,16.18,13.21,15.89,13.17,12.75,10.48,0,10.44,13.54,13.66,12.64,13.65,0,13.15,9.82,13.61,13.64,13.74,13.57,13.53,13.6,12.47,12.52,13.52,11.25,13.55,12.39,13.5,11.82,12.43,13.51,14.49,13.5,13.35,13.45,5.59,14.42,13.54,13.4,13.4,13.41,12.18,13.45,7.84,13.36,12.68355556
2015,0,4.03,-2.43,-11.37,1.27,1.95,5.05,-0.43,0.53,3.88,-3.43,-2.51,1.51,-4.79,1.14,-3.68,-2.89,0.79,-4.7,0.09,-2.05,-4.21,2.52,-1.91,5.86,0,2.09,-2.96,-2.16,-0.37,-0.27,2.15,2.9,-1.92,2.81,-1.79,0.35,-1.23,1.71,-2.38,-1.66,0,0,2.58,0.08,0.48,1.13,1.55,2.21,-0.09,6.83,0.9,6.89,0.86,0.75,0.82,0,-1.49,0.92,1.38,0.48,1.37,0,-3.2,3.92,1.35,1.41,-9.63,1.29,1.38,1.35,0.47,0.46,-0.54,-2.39,1.29,0.41,1.27,3.89,0.29,1.25,-0.55,1.24,1.18,1.2,-12.19,1.34,1.08,1.11,1.19,1.22,1.03,1.23,5.79,1.11,0.278494624
2016,6.04,8.33,10.53,13.3,10.34,1.91,3.24,9.6,11.26,5.84,7.56,7.23,9.81,5.66,10.71,4.22,13.58,10.88,10.33,10.79,10.13,12.41,7.84,9.86,11.86,14.25,10.95,5.97,14.77,11.09,9.8,9.69,10.23,8.73,6.94,5.08,10.29,13.91,12.06,9.57,10.23,12.85,0,10.63,10.82,9.94,11.7,12.01,10.63,11.22,5.76,12.05,5.79,11.92,11.53,11.49,0,8.4,12.16,11.97,12.77,11.93,0,10.07,5.35,11.92,11.86,11.46,11.82,11.9,11.87,12.68,12.76,10.86,13.51,11.88,12.58,11.77,9.99,12.53,11.82,10.41,11.79,11.6,11.74,26.92,12.89,12.6,11.7,11.71,11.68,11.53,11.74,10.07,11.65,10.88195876
2017,21.47,27.56,33.2,21.21,24.19,31.81,27.15,21.54,23.08,22.79,25.82,26.64,29.06,21.89,21.18,18.34,24.01,21.52,21.71,21.5,20.5,21.07,28.45,20.45,26.28,21.61,22.57,25.48,23.9,24.46,21.48,20.89,23.72,25.52,23.79,18.82,22.1,21.35,22.43,21.49,23.19,20.86,19.37,29.51,22.55,21.28,21.53,23.21,21.98,21.07,21.92,21.59,22.08,21.6,21.68,22.45,16.63,24.77,21.97,21.81,21.13,21.79,21.74,15.16,25.98,21.77,21.73,16.75,21.79,21.73,21.77,21.18,21.09,21.65,20.93,21.71,21.06,21.68,24.58,21.05,21.67,16.58,21.64,21.48,21.59,24.69,21.39,21.44,21.55,21.61,21.55,20.2,21.6,20.19,21.46,22.3552
2018,-2.41,-14.24,-6.76,-12.42,-3.38,-2.8,-1.34,-1.74,-2.66,-3.21,-6.83,-6.38,0.51,-7.55,-4.07,-2.54,-7.91,-5.95,-1.79,-6.06,-3.05,-2.49,-1.67,-3.06,-6.48,-5.51,-3.46,-7.26,-5.73,-4.11,-7.24,0.96,-4.63,-5.75,-4.56,-1.66,-5.39,-6.73,-4.95,-5.57,-4.77,-5.82,-11.04,-2.01,-5.82,-4.78,-4.65,2.19,-4.93,-5.79,-1.99,-4.8,-1.58,-4.85,-4.91,-4.3,0.1,-8.7,-4.29,-4.4,-5.14,-4.42,-4.36,-4.42,-9.09,-4.38,-4.41,-7.68,-4.42,-4.43,-4.45,-5.28,-5.22,-3.35,-5.53,-4.5,-5.3,-4.62,-5.5,-5.26,-4.52,-0.18,-4.56,-4.23,-4.59,-19.47,-6.06,-5.45,-4.58,-4.61,-4.59,-6.27,-4.6,-13.88,-4.62,-4.9339
2019,37.79,36.36,22.61,27.8,33.96,32.29,37.56,31,30.18,41.2,35.56,35.14,31.79,33.19,32.82,27.3,32.5,32.13,31.67,32.17,32.22,26.91,31.19,32.32,31.03,31.18,31.34,35.02,33.12,32.73,29.78,30.62,32.46,33.51,27.81,31.46,29.15,32.52,31.51,31.39,32.81,32.22,36.17,27.78,31.68,29.93,31.19,29.02,31,30.63,34.12,31.38,33.84,31.28,31.41,29.25,30.83,31.41,31.68,31.47,30.88,31.46,31.53,34,30.98,31.43,31.44,44.37,31.44,31.42,31.42,30.92,30.87,27.66,31.49,31.35,30.88,31.26,28.71,30.65,31.33,30.69,31.32,31.21,31.29,42.14,33.8,32.76,31.23,31.23,31.24,30.95,31.24,35.06,31.12,31.9323
2020,35.74,27.78,53.45,37.99,22.66,22.79,19.2,23.9,23.83,17.27,24.32,24.01,18.51,20.44,26.11,30.23,17.66,26.54,20.51,26.41,23.82,21.91,18.65,23.03,22.09,22.41,21.86,23.65,18.82,18.55,26.17,19.28,19.81,18.98,18.59,21.71,19.87,21.22,21.08,20.67,19.98,22.34,24.27,17.25,19.32,19.74,21.22,18.35,20.98,23.22,18.04,20.86,18.42,20.84,20.72,18.79,18.65,20.83,18.19,18.4,20.99,18.39,18.25,24.22,20.47,18.43,18.36,11.59,18.39,18.4,18.34,20.78,20.82,18.05,20.34,18.26,20.71,18.59,19.63,20.87,18.25,21.19,18.2,18.05,18.18,12.9,19.38,18.46,18.19,18.22,18.24,22.62,18.13,20.55,18.14,20.9682
